20160401,2997.09,3009.67,2956.25,3009.53,206545866,217520537600.00
20160405,3000.94,3057.33,2993.15,3053.07,256730344,276654686208.00
20160406,3039.74,3059.79,3029.00,3050.59,232262051,254914560000.00
20160407,3058.34,3062.36,3007.06,3008.42,220919506,243961806848.00
20160408,2988.20,2996.17,2960.46,2984.96,187904633,207337095168.00
20160411,3006.91,3048.98,3006.91,3033.96,220018324,252328394752.00
20160412,3031.30,3036.82,3001.32,3023.65,182718668,207079800832.00
20160413,3041.36,3097.16,3041.36,3066.64,310003246,331420696576.00
20160414,3080.09,3086.70,3056.99,3082.36,208237830,235056054272.00
20160415,3085.03,3089.95,3066.87,3078.12,189613051,224141312000.00
20160418,3058.46,3058.46,3022.97,3033.66,183304512,208613081088.00
20160419,3047.13,3054.50,3024.90,3042.82,156533200,180948008960.00
20160420,3050.38,3055.69,2905.05,2972.58,283144219,311154868224.00
20160421,2954.37,2990.67,2943.46,2952.89,189406849,206477131776.00
20160422,2933.03,2960.21,2926.78,2959.24,137211668,148800438272.00
20160425,2949.97,2954.09,2917.02,2946.67,125856243,140638748672.00
20160426,2944.72,2965.43,2933.97,2964.70,117711604,134292455424.00
20160427,2967.19,2976.02,2949.43,2953.67,130867640,150286303232.00
20160428,2955.74,2959.51,2916.37,2945.59,138663274,154614693888.00
数据来源:通达信
